Year,Month,month week,WeekNum,StartDate,PCG-BP,PCG-EMI,PCG-P09,PCG-P10,PCG-P15,PCG-P20,PCG-P25,PCG-P26,PCG-SS,PCG-SIN,PCG-SGS,PCG-EFB,PCG-P05
2013,12,1,53,30-Dec-13,,,,,,,,,,,,,
2014,1,4,2,06-Jan-14,2,0,6,1,46,9,3,9,0,0,0,0,0
2014,1,4,3,13-Jan-14,2,0,6,1,46,10,3,10,1,0,0,0,0
2014,1,4,4,20-Jan-14,2,0,6,1,46,9,3,10,0,0,0,0,0
2014,1,4,5,27-Jan-14,3,0,6,1,46,10,3,10,1,0,0,0,0
2014,2,4,6,03-Feb-14,0,0,2,0,22,4,1,6,0,0,0,0,0
2014,2,4,7,10-Feb-14,0,0,2,0,23,4,1,6,0,0,0,0,0
2014,2,4,8,17-Feb-14,0,0,2,0,22,4,1,6,0,0,0,0,0
2014,2,4,9,24-Feb-14,1,0,2,0,23,4,1,6,0,0,0,0,0
2014,3,5,10,03-Mar-14,0,1,3,0,16,0,0,8,0,0,0,0,0
2014,3,5,11,10-Mar-14,0,1,4,0,16,1,1,8,0,0,0,0,0
2014,3,5,12,17-Mar-14,0,2,4,1,16,1,1,9,0,0,0,0,0
2014,3,5,13,24-Mar-14,0,1,4,0,16,1,1,8,0,0,0,0,0
2014,3,5,14,31-Mar-14,0,2,4,1,17,1,1,9,0,0,0,0,0
2014,4,4,15,07-Apr-14,0,0,9,0,25,12,0,4,0,0,0,0,0
2014,4,4,16,14-Apr-14,1,0,9,0,25,12,1,4,0,0,0,0,0
2014,4,4,17,21-Apr-14,1,0,9,0,25,12,1,4,0,0,0,0,0
2014,4,4,18,28-Apr-14,1,0,9,0,25,12,1,5,0,0,0,0,0
2014,5,4,19,05-May-14,0,0,4,1,13,10,0,2,0,0,0,0,0
2014,5,4,20,12-May-14,1,0,4,1,14,10,0,3,0,0,0,0,0
2014,5,4,21,19-May-14,0,0,4,1,13,10,0,3,0,0,0,0,0
2014,5,4,22,26-May-14,1,0,5,1,14,10,1,3,0,0,0,0,0
2014,6,5,23,02-Jun-14,1,0,6,0,38,5,0,5,0,0,0,0,0
2014,6,5,24,09-Jun-14,2,0,7,0,38,6,1,6,0,0,0,0,0
2014,6,5,25,16-Jun-14,1,0,6,0,38,5,1,6,0,0,0,0,0
2014,6,5,26,23-Jun-14,2,0,7,0,38,6,1,6,0,0,0,0,0
2014,6,5,27,30-Jun-14,2,0,7,0,39,6,1,6,0,0,0,0,0
2014,7,4,28,07-Jul-14,0,0,4,1,32,5,0,2,0,0,0,0,0
2014,7,4,29,14-Jul-14,0,0,4,1,33,5,0,3,0,0,0,0,0
2014,7,4,30,21-Jul-14,0,0,4,1,33,5,0,2,0,0,0,0,0
2014,7,4,31,28-Jul-14,0,0,4,1,33,5,0,3,0,0,0,0,0
2014,8,4,32,04-Aug-14,0,0,5,0,35,3,1,0,0,0,0,0,0
2014,8,4,33,11-Aug-14,1,1,5,0,35,3,1,1,0,0,0,0,0
2014,8,4,34,18-Aug-14,0,0,5,0,35,3,1,0,0,0,0,0,0
2014,8,4,35,25-Aug-14,1,1,5,0,35,4,1,1,0,0,0,0,0
2014,9,5,36,01-Sep-14,0,0,5,0,28,2,0,3,0,0,0,0,0
2014,9,5,37,08-Sep-14,0,1,6,0,29,2,0,3,0,0,0,0,0
2014,9,5,38,15-Sep-14,0,0,6,0,29,2,0,3,0,0,0,0,0
2014,9,5,39,22-Sep-14,0,1,6,0,29,2,0,3,0,0,0,0,0
2014,9,5,40,29-Sep-14,0,1,6,0,29,2,1,3,0,0,0,0,0
2014,10,4,41,06-Oct-14,0,0,9,1,39,8,2,7,0,0,0,0,0
2014,10,4,42,13-Oct-14,1,1,10,1,39,8,2,7,0,0,0,0,0
2014,10,4,43,20-Oct-14,1,1,9,1,39,8,2,7,0,0,0,0,0
2014,10,4,44,27-Oct-14,1,1,10,1,40,8,2,8,0,0,0,0,0
2014,11,4,45,03-Nov-14,1,0,5,0,64,6,0,6,0,0,0,0,0
2014,11,4,46,10-Nov-14,2,0,6,0,64,7,0,7,0,0,0,0,0
